task_id,status,start_time,end_time,error_message
5ee59036-19b4-431a-b523-a94db20b7d11,FAILED,2026-08-14T13:14:49.059506,2026-08-14T13:19:09.599888,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff71e3dabb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff71e3dac10+15210]
	chromedriver!(No symbol) [0x7ff71df05d6d]
	chromedriver!(No symbol) [0x7ff71dedcc52]
	chromedriver!(No symbol) [0x7ff71df910c6]
	chromedriver!(No symbol) [0x7ff71dfae4f2]
	chromedriver!(No symbol) [0x7ff71df537cc]
	chromedriver!(No symbol) [0x7ff71df546f3]
	chromedriver!GetHandleVerifier [0x7ff71e9fb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff71e9f5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff71ea1bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff71e3f8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff71e40147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff71e3e4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff71e3e4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff71e3c7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
2f83b107-40b3-4158-b645-96690dc64a32,FAILED,2026-08-14T13:14:39.982159,2026-08-14T13:19:35.155663,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff71e3dabb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff71e3dac10+15210]
	chromedriver!(No symbol) [0x7ff71df05d6d]
	chromedriver!(No symbol) [0x7ff71dedcc52]
	chromedriver!(No symbol) [0x7ff71df910c6]
	chromedriver!(No symbol) [0x7ff71dfae4f2]
	chromedriver!(No symbol) [0x7ff71df537cc]
	chromedriver!(No symbol) [0x7ff71df546f3]
	chromedriver!GetHandleVerifier [0x7ff71e9fb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff71e9f5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff71ea1bcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff71e3f8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff71e40147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff71e3e4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff71e3e4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff71e3c7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
2dc35cd1-6006-4bbf-8554-bad31cdd9714,SUCCESS,2026-08-14T13:19:48.064278,2026-08-14T13:34:40.138492,
2e40e619-dbee-4aa2-9139-658bf9dee414,SUCCESS,2026-08-14T18:38:04.293821,2026-08-14T18:42:14.888399,
48a6fb10-0d70-4a38-add5-ae71d1576194,SUCCESS,2026-08-14T18:47:29.399912,2026-08-14T18:59:15.322590,
dee5e934-b549-4a27-9c4f-7ace1e335cbf,SUCCESS,2026-08-15T01:39:25.815726,2026-08-15T01:46:47.779531,
3360c396-8266-4320-a928-dfa99b612151,FAILED,2026-08-16T23:57:07.284119,2026-08-16T23:57:34.967550,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff76b6babb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff76b6bac10+15210]
	chromedriver!(No symbol) [0x7ff76b1e5d6d]
	chromedriver!(No symbol) [0x7ff76b1bcc52]
	chromedriver!(No symbol) [0x7ff76b2710c6]
	chromedriver!(No symbol) [0x7ff76b28e4f2]
	chromedriver!(No symbol) [0x7ff76b2337cc]
	chromedriver!(No symbol) [0x7ff76b2346f3]
	chromedriver!GetHandleVerifier [0x7ff76bcdb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff76bcd5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff76bcfbcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff76b6d8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff76b6e147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff76b6c4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff76b6c4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff76b6a7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
5985cd8f-1a7f-4788-a089-5afb6ce8f95e,FAILED,2026-08-16T23:56:53.816233,2026-08-16T23:57:36.477331,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff76b6babb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff76b6bac10+15210]
	chromedriver!(No symbol) [0x7ff76b1e5d6d]
	chromedriver!(No symbol) [0x7ff76b1bcc52]
	chromedriver!(No symbol) [0x7ff76b2710c6]
	chromedriver!(No symbol) [0x7ff76b28e4f2]
	chromedriver!(No symbol) [0x7ff76b2337cc]
	chromedriver!(No symbol) [0x7ff76b2346f3]
	chromedriver!GetHandleVerifier [0x7ff76bcdb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff76bcd5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff76bcfbcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff76b6d8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff76b6e147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff76b6c4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff76b6c4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff76b6a7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
d1bcc296-8c3a-4123-8dbb-d1a51a09da7d,FAILED,2026-08-16T23:57:43.150235,2026-08-16T23:58:25.089813,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff76b6babb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff76b6bac10+15210]
	chromedriver!(No symbol) [0x7ff76b1e5d6d]
	chromedriver!(No symbol) [0x7ff76b1bcc52]
	chromedriver!(No symbol) [0x7ff76b2710c6]
	chromedriver!(No symbol) [0x7ff76b28e4f2]
	chromedriver!(No symbol) [0x7ff76b2337cc]
	chromedriver!(No symbol) [0x7ff76b2346f3]
	chromedriver!GetHandleVerifier [0x7ff76bcdb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff76bcd5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff76bcfbcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff76b6d8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff76b6e147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff76b6c4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff76b6c4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff76b6a7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
477bf4ae-a0fa-435f-9c41-b1fc07512a3c,FAILED,2026-08-16T23:58:13.699387,2026-08-16T23:59:09.965635,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=151.0.7922.138)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff76b6babb5+151b5]
	chromedriver!GetHandleVerifier [0x7ff76b6bac10+15210]
	chromedriver!(No symbol) [0x7ff76b1e5d6d]
	chromedriver!(No symbol) [0x7ff76b1bcc52]
	chromedriver!(No symbol) [0x7ff76b2710c6]
	chromedriver!(No symbol) [0x7ff76b28e4f2]
	chromedriver!(No symbol) [0x7ff76b2337cc]
	chromedriver!(No symbol) [0x7ff76b2346f3]
	chromedriver!GetHandleVerifier [0x7ff76bcdb79b+635d9b]
	chromedriver!GetHandleVerifier [0x7ff76bcd5ac6+6300c6]
	chromedriver!GetHandleVerifier [0x7ff76bcfbcee+6562ee]
	chromedriver!GetHandleVerifier [0x7ff76b6d8ffe+335fe]
	chromedriver!GetHandleVerifier [0x7ff76b6e147c+3ba7c]
	chromedriver!GetHandleVerifier [0x7ff76b6c4d64+1f364]
	chromedriver!GetHandleVerifier [0x7ff76b6c4ef4+1f4f4]
	chromedriver!GetHandleVerifier [0x7ff76b6a7d97+2397]
	KERNEL32!BaseThreadInitThunk [0x7ffdbeacccb7+17]
	ntdll!RtlUserThreadStart [0x7ffdbfacad6c+2c]
"
